season,pop,quadrat,fullName,prevNum,num,mark_cell,DNA sample,clusterLength,clusterWidth,nRosettes,nLeaves,lengthLongestLeaf,nInfl,lengthInfl,nSiliques,lengthLongestSilique,comments
spring2022,bovra,6,bovra6,,8,3E,,7,4,7,65,2.3,5,10.5,,,
spring2022,spiterstulen,3,spiterstulen3,,4,G,146,4,3.2,2,22,2.3,0,,,,
spring2022,spiterstulen,10,spiterstulen10,,3,P,160,5.5,3.5,5,51,2.3,8,20,,,
spring2022,laerdal,2,laerdal2,,7,G,4,3.4,3.2,3,38,2.2,1,12.3,,,
spring2022,laerdal,4,laerdal4,,11,2E,,5.5,3,2,43,2.2,1,20,,,
spring2022,laerdal,4,laerdal4,,18,1C,,,,1,7,2.2,0,,,,
spring2022,laerdal,6,laerdal6,,35,4D,,,,1,4,2.2,0,,,,
spring2022,laerdal,9,laerdal9,,5,4C,,,,1,11,2.2,0,,,,
spring2022,laerdal,10,laerdal10,,2,1A,,,,1,8,2.2,0,,,,
spring2022,laerdal,10,laerdal10,,21,4C,,,,1,8,2.2,0,,,,
spring2022,laerdal,10,laerdal10,,23,5E,,,,1,14,2.2,0,,,,
spring2022,hjelle,2,hjelle2,,5,3B,,,,1,18,2.2,1,11.5,,,
spring2022,hjelle,4,hjelle4,,23,5E,,,,1,13,2.2,1,3.5,,,
spring2022,hjelle,6,hjelle6,,6,5C,,2,3,2,22,2.2,1,13,,,
spring2022,ardal,5,ardal5,,9,4D,,,,1,19,2.2,0,,,,
spring2022,ardal,6,ardal6,,23,1D,,,,1,14,2.2,1,12,,,
spring2022,ardal,8,ardal8,,4,P,,,,1,16,2.2,1,20.5,,,
spring2022,ardal,8,ardal8,,3,1C,,4,4,3,38,2.2,3,22,,,
spring2022,helin,1,helin1,,3,P,,4.4,3.8,5,67,2.2,0,,,,
spring2022,helin,3,helin3,,12,4B,,3.5,2,2,26,2.2,1,3.5,,,
spring2022,helin,4,helin4,,20,1E,,3.5,2.7,3,26,2.2,0,,,,
spring2022,helin,6,helin6,,2,P,,,,1,19,2.2,3,11,,,
spring2022,helin,6,helin6,,7,3C,,,,1,23,2.2,,,,,
spring2022,smadalen,2,smadalen2,,3,1B,,3,3,3,44,2.2,0,,,,
spring2022,bovra,1,bovra1,,3,G,122,12,10.5,12,200,2.2,18,23,,,
spring2022,bovra,1,bovra1,,1,1A,,,,1,8,2.2,0,,,,
spring2022,bovra,4,bovra4,,10,1E,,6.5,6,12,120,2.2,4,7,,,
spring2022,bovra,4,bovra4,,11,5E,,5,3,7,56,2.2,4,6,,,
spring2022,bovra,6,bovra6,,2,P,,4.5,5.5,3,58,2.2,5,12,,,
spring2022,bovra,10,bovra10,,2,2B,,,,1,10,2.2,0,,,,
spring2022,spiterstulen,1,spiterstulen1,,1,1B,,4.5,5,6,53,2.2,7,,,,
spring2022,spiterstulen,7,spiterstulen7,,3,3E,,,,1,13,2.2,0,,,,
spring2022,spiterstulen,10,spiterstulen10,,4,G,,,,1,23,2.2,1,15,,,
spring2022,spiterstulen,10,spiterstulen10,,2,3A,,3.2,3.6,4,27,2.2,0,,,,
spring2022,laerdal,1,laerdal1,,1,B4,,,,1,16,2.1,1,0.5,,,
spring2022,laerdal,3,laerdal3,,1,G,5,4,3.6,2,25,2.1,0,,,,
spring2022,laerdal,5,laerdal5,,8,5A,,,,1,8,2.1,1,14,,,
spring2022,laerdal,8,laerdal8,,2,2C,,,,1,15,2.1,2,33,,,
spring2022,laerdal,9,laerdal9,,2,G,17,5,3.2,2,18,2.1,2,22,,,
spring2022,hjelle,2,hjelle2,,4,P,44,3.5,2.5,2,31,2.1,5,25.5,,,
spring2022,hjelle,2,hjelle2,,1,2A,,,,1,20,2.1,2,13.5,,,
spring2022,hjelle,2,hjelle2,,4,3B,,2.5,1.5,3,44,2.1,6,26,,,
spring2022,hjelle,2,hjelle2,,7,3C,,4,2.5,2,28,2.1,5,16,,,
spring2022,hjelle,4,hjelle4,,4,P,,3,2.5,3,26,2.1,8,23,,,
spring2022,hjelle,4,hjelle4,,10,3C,,3,3,1,14,2.1,3,21.5,,,
spring2022,hjelle,4,hjelle4,,19,2E,,3,3,2,20,2.1,0,,,,
spring2022,hjelle,6,hjelle6,,15,2D,,,,1,6,2.1,0,,,,
spring2022,ardal,2,ardal2,,5,2E,,,,1,14,2.1,0,,,,
spring2022,ardal,5,ardal5,,7,1B,,,,1,8,2.1,0,,,,
spring2022,helin,1,helin1,,5,2E,,3.2,2.3,2,43,2.1,0,,,,
spring2022,helin,10,helin10,,4,P,,,,1,34,2.1,0,,,,
spring2022,smadalen,2,smadalen2,,3,G,104,,,1,31,2.1,1,4,,,
spring2022,smadalen,8,smadalen8,,5,1C,,,,1,13,2.1,1,1.5,,,
spring2022,bovra,2,bovra2,,2,P,123,,,1,22,2.1,0,,,,
spring2022,spiterstulen,2,spiterstulen2,,4,P,144,6.2,4.5,6,27,2.1,6,12,,,
spring2022,spiterstulen,3,spiterstulen3,,2,G,,6.2,2.8,4,35,2.1,1,9.5,,,
spring2022,spiterstulen,3,spiterstulen3,,2,3A,,5.5,2.9,3,32,2.1,7,14,,,
spring2022,spiterstulen,4,spiterstulen4,,1,P,147,5.5,4.4,7,80,2.1,8,18,,,
spring2022,spiterstulen,6,spiterstulen6,,2,5C,,4.3,4.3,3,45,2.1,5,11.5,,,
spring2022,laerdal,1,laerdal1,,3,B4,,,,1,33,2,2,15,,,
spring2022,laerdal,3,laerdal3,,2,P,,3.8,2.6,2,28,2,3,27,,,
spring2022,laerdal,4,laerdal4,,7,3B,,,,1,18,2,1,2.4,,,
spring2022,laerdal,6,laerdal6,,12,4B,,,,2,95,2,1,12,,,
spring2022,laerdal,7,laerdal7,,13,5C,,3.1,2.6,3,24,2,2,31,,,
spring2022,laerdal,7,laerdal7,,16,5D,,,,1,7,2,0,,,,
spring2022,laerdal,10,laerdal10,,9,2A,,,,1,16,2,0,,,,
spring2022,laerdal,10,laerdal10,,11,2A,,,,1,8,2,1,,,,
spring2022,laerdal,10,laerdal10,,22,4C,,,,1,14,2,3,14,,,
spring2022,laerdal,10,laerdal10,,25,5E,,3.5,2.5,2,34,2,1,,,,
spring2022,saebo,2,saebo2,,8,1C,,4.7,3.3,7,72,2,8,16.5,,,
spring2022,hjelle,1,hjelle1,,3,G,42,,,1,6,2,1,27,,,
spring2022,hjelle,2,hjelle2,,1,G,,,,1,16,2,2,11.5,,,
spring2022,hjelle,3,hjelle3,,10,5B,,4,3.5,4,31,2,10,21,,,
spring2022,hjelle,4,hjelle4,,11,2C,,,,1,28,2,0,,,,
spring2022,hjelle,4,hjelle4,,12,1E,,,,1,18,2,1,20,,,
spring2022,hjelle,4,hjelle4,,17,2D,,,,1,8,2,0,,,,
spring2022,hjelle,4,hjelle4,,20,3D,,,,1,16,2,0,,,,
spring2022,hjelle,4,hjelle4,,27,4E,,,,1,10,2,0,,,,
spring2022,hjelle,9,hjelle9,,24,5C,,3.7,2.2,2,31,2,5,22,,,
spring2022,hjelle,9,hjelle9,,34,2D,,4.5,3,3,24,2,4,23,,,
spring2022,hjelle,10,hjelle10,,5,2C,,,,1,8,2,1,15,,,
spring2022,ardal,6,ardal6,,31,3E,,,,1,12,2,0,,,,
spring2022,helin,2,helin2,,1,G,83,4.2,3,4,46,2,2,7.5,,,
spring2022,helin,3,helin3,,18,4A,,3,3.3,3,28,2,1,8,,,
spring2022,helin,5,helin5,,4,G,90,5.5,3.4,2,48,2,3,5,,,
spring2022,helin,9,helin9,,3,2A,,,,1,4,2,3,11,,,
spring2022,helin,10,helin10,,1,G,99,5.5,5,3,84,2,10,12.5,,,
spring2022,smadalen,1,smadalen1,,2,4D,,4,4.4,5,65,2,5,1.4,,,
spring2022,smadalen,1,smadalen1,,3,2E,,3,3,4,49,2,5,1.1,,,
spring2022,smadalen,3,smadalen3,,3,G,106,4.2,3.6,6,56,2,4,6.5,,,
spring2022,smadalen,3,smadalen3,,4,4E,,2.8,2.3,2,24,2,2,6.5,,,
spring2022,smadalen,8,smadalen8,,3,G,116,4.5,3,4,45,2,4,5.5,,,
spring2022,bovra,3,bovra3,,2,P,,9,2.5,5,54,2,8,12,,,
spring2022,bovra,3,bovra3,,4,G,126,6.5,4.5,3,47,2,5,14.5,,,
spring2022,bovra,5,bovra5,,3,3C,,7,6,16,120,2,5,1.7,,,
spring2022,bovra,8,bovra8,,3,G,,,,1,4,2,4,16,,,
spring2022,spiterstulen,2,spiterstulen2,,1,G,143,6.5,5,9,120,2,13,14,,,
spring2022,spiterstulen,3,spiterstulen3,,1,P,,4.5,2,2,24,2,1,10.5,,,
spring2022,spiterstulen,10,spiterstulen10,,3,3B,,4.7,3.2,3,33,2,3,16,,,
spring2022,laerdal,2,laerdal2,,8,P,,,,1,13,1.9,0,,,,
spring2022,laerdal,4,laerdal4,,1,2A,,5,4,2,26,1.9,4,20.5,,,
spring2022,laerdal,4,laerdal4,,16,2C,,,,1,10,1.9,3,15,,,
spring2022,laerdal,6,laerdal6,,32,4D,,,,1,16,1.9,1,3,,,
spring2022,laerdal,7,laerdal7,,3,1B,,3.3,2.8,2,18,1.9,1,18.5,,,
spring2022,laerdal,7,laerdal7,,4,2A,,2.7,3.2,2,14,1.9,1,20,,,
spring2022,laerdal,7,laerdal7,,5,3A,,3.4,2,2,18,1.9,1,35,,,
spring2022,laerdal,8,laerdal8,,2,G,16,,,1,2,1.9,1,22,,,
spring2022,laerdal,8,laerdal8,,6,3C,,,,1,13,1.9,1,28.5,,,
spring2022,laerdal,10,laerdal10,,24,5E,,,,1,14,1.9,1,,,,
spring2022,saebo,10,saebo10,,3,2B,,,,1,5,1.9,1,22.5,,,
spring2022,hjelle,2,hjelle2,,6,3C,,2.5,2,2,28,1.9,5,14.5,,,
spring2022,hjelle,3,hjelle3,,5,5A,,,,1,13,1.9,0,,,,
spring2022,hjelle,6,hjelle6,,1,5A,,,,1,12,1.9,1,5.5,,,
spring2022,hjelle,6,hjelle6,,4,4C,,3.5,2,2,28,1.9,1,8,,,
spring2022,hjelle,6,hjelle6,,9,5D,,3,2.5,4,22,1.9,0,,,,
spring2022,hjelle,8,hjelle8,,3,3E,,5,3,5,46,1.9,1,5.5,,,
spring2022,hjelle,9,hjelle9,,35,2D,,3.5,3.3,2,22,1.9,1,21,,,
spring2022,ardal,6,ardal6,,21,1D,,,,1,20,1.9,1,1.5,,,
spring2022,ardal,6,ardal6,,33,4E,,,,1,16,1.9,1,13.5,,,
spring2022,helin,1,helin1,,2,P,,3.5,2,5,40,1.9,3,5,,,
spring2022,helin,1,helin1,,3,3C,,,,1,13,1.9,2,8.5,,,
spring2022,helin,2,helin2,,2,R,,,,1,11,1.9,1,6,,,
spring2022,helin,6,helin6,,1,G,91,4.5,4,2,33,1.9,2,9.5,,,
spring2022,helin,6,helin6,,3,3B,,5.5,2,2,35,1.9,4,11.5,,,
spring2022,helin,7,helin7,,4,4B,,5,4.5,6,65,1.9,1,4.5,,,
spring2022,helin,10,helin10,,3,G,100,6.5,6.5,1,33,1.9,1,18.5,,,
spring2022,helin,10,helin10,,3,4B,,2.5,2.5,3,22,1.9,1,9.5,,,
spring2022,helin,10,helin10,,5,5B,,,,1,16,1.9,0,,,,
spring2022,helin,10,helin10,,9,3D,,4.5,3,2,33,1.9,1,11,,,
spring2022,smadalen,9,smadalen9,,3,5A,,,,1,14,1.9,0,,,,
spring2022,bovra,1,bovra1,,1,P,,5.5,3,2,49,1.9,1,9,,,
spring2022,bovra,1,bovra1,,4,3A,,2.5,3.8,2,12,1.9,1,2.5,,,
spring2022,bovra,1,bovra1,,15,2B,,4.3,2.7,3,31,1.9,0,,,,
spring2022,bovra,2,bovra2,,1,G,,,,1,20,1.9,0,,,,
spring2022,bovra,4,bovra4,,6,4C,,,,1,9,1.9,1,10,,,
spring2022,bovra,5,bovra5,,1,G,129,5,3.4,5,50,1.9,2,11,,,
spring2022,bovra,5,bovra5,,2,P,,6,4.5,5,74,1.9,1,1.5,,,
spring2022,bovra,10,bovra10,,4,1C,,3.5,3.2,2,37,1.9,2,10,,,
spring2022,spiterstulen,5,spiterstulen5,,1,G,149,,,1,25,1.9,1,3.8,,,
spring2022,spiterstulen,6,spiterstulen6,,3,5C,,,,1,10,1.9,3,13.5,,,
spring2022,spiterstulen,8,spiterstulen8,,3,4D,,,,1,10,1.9,0,,,,
spring2022,spiterstulen,10,spiterstulen10,,8,2D,,4.4,2.8,6,68,1.9,0,,,,
spring2022,laerdal,2,laerdal2,,5,C3,,,,1,20,1.8,1,21.5,,,
spring2022,laerdal,5,laerdal5,,12,4B,,,,1,12,1.8,0,,,,
spring2022,laerdal,6,laerdal6,,8,2B,,,,1,22,1.8,0,,,,
spring2022,laerdal,6,laerdal6,,41,5E,,,,1,10,1.8,1,9,,,
spring2022,laerdal,7,laerdal7,,3,P,14,6,3,5,84,1.8,3,26,,,
spring2022,laerdal,7,laerdal7,,10,3B,,2.9,2,2,15,1.8,1,2.1,,,
spring2022,laerdal,8,laerdal8,,4,2C,,,,1,10,1.8,1,30.5,,,
spring2022,hjelle,1,hjelle1,,4,P,,,,1,3,1.8,1,16,,,
spring2022,hjelle,2,hjelle2,,2,5A,,,,1,8,1.8,0,,,,
spring2022,hjelle,3,hjelle3,,1,3A,,3,2.9,3,19,1.8,2,14,,,
spring2022,hjelle,4,hjelle4,,3,G,48,6,3,3,42,1.8,4,17,,,
spring2022,hjelle,4,hjelle4,,13,1D,,,,1,14,1.8,0,,,,
spring2022,hjelle,4,hjelle4,,28,5D,,,,1,10,1.8,0,,,,
spring2022,hjelle,6,hjelle6,,13,2C,,,,1,6,1.8,1,19.5,,,
spring2022,hjelle,6,hjelle6,,18,1E,,4.5,4.5,6,66,1.8,22,22,,,
spring2022,hjelle,9,hjelle9,,4,G,,,,1,18,1.8,0,,,,
spring2022,hjelle,10,hjelle10,,3,G,60,4.4,5,1,8,1.8,0,,,,
spring2022,ardal,6,ardal6,,4,P,71,3,2,2,28,1.8,4,17.5,,,
spring2022,ardal,6,ardal6,,30,1E,,,,1,17,1.8,1,11.5,,,
spring2022,ardal,8,ardal8,,5,3D,,5.7,3.6,6,64,1.8,17,22,,,
spring2022,helin,1,helin1,,4,4C,,,,1,12,1.8,2,11,,,
spring2022,helin,2,helin2,,8,5E,,6,3.5,9,65,1.8,12,10,,,
spring2022,helin,4,helin4,,3,G,,3.7,3.2,2,46,1.8,1,4,,,
spring2022,helin,4,helin4,,16,4E,,,,1,14,1.8,0,,,,
spring2022,helin,4,helin4,,21,2E,,,,1,10,1.8,0,,,,
spring2022,helin,5,helin5,,2,G,,,,1,22,1.8,2,5,,,
spring2022,helin,5,helin5,,9,5B,,,,1,8,1.8,0,,,,
spring2022,helin,7,helin7,,5,3B,,,,1,7,1.8,0,,,,
spring2022,helin,8,helin8,,1,G,97,5,4,3,48,1.8,7,11,,,
spring2022,smadalen,4,smadalen4,,4,G,108,3.7,3.4,2,43,1.8,0,,,,
spring2022,smadalen,5,smadalen5,,10,5E,,4.5,3.5,6,44,1.8,7,5,,,
spring2022,smadalen,6,smadalen6,,24,1E,,,,1,7,1.8,0,,,,
spring2022,smadalen,8,smadalen8,,10,2C,,4,2,3,30,1.8,3,5.5,,,
spring2022,smadalen,10,smadalen10,,3,4A,,,,1,12,1.8,0,,,,
spring2022,bovra,1,bovra1,,12,1B,,,,1,9,1.8,0,,,,
spring2022,bovra,1,bovra1,,18,4B,,,,1,9,1.8,0,,,,
spring2022,bovra,3,bovra3,,7,3E,,,,1,9,1.8,0,,,,
spring2022,bovra,4,bovra4,,1,P,,4.5,3,3,50,1.8,1,3,,,
spring2022,bovra,4,bovra4,,4,3A,,,,1,11,1.8,0,,,,
spring2022,bovra,4,bovra4,,7,4D,,4.5,2.8,4,28,1.8,1,6,,,
spring2022,bovra,4,bovra4,,8,2D,,3,2.5,3,28,1.8,3,10.5,,,
spring2022,bovra,5,bovra5,,4,4C,,6.5,7,14,140,1.8,2,13.2,,,
spring2022,spiterstulen,4,spiterstulen4,,4,2C,,2.4,2.7,2,19,1.8,0,,,,
spring2022,spiterstulen,5,spiterstulen5,,2,P,,,,1,4,1.8,2,13,,,
spring2022,spiterstulen,7,spiterstulen7,,3,P,,,,1,10,1.8,0,,,,
spring2022,spiterstulen,10,spiterstulen10,,4,4B,,2,1.8,2,12,1.8,0,,,,
spring2022,bovra,1,bovra1,,23,3B,,3.6,3.5,5,40,1.77,2,5,,,
spring2022,laerdal,4,laerdal4,,4,1A,,,,1,7,1.7,0,,,,
spring2022,laerdal,4,laerdal4,,9,2D,,,,1,17,1.7,3,21,,,
spring2022,laerdal,5,laerdal5,,3,4A,,2.5,3.5,2,14,1.7,1,9.5,,,
spring2022,laerdal,6,laerdal6,,7,1C,,4.5,4.5,2,30,1.7,1,11,,,
spring2022,laerdal,6,laerdal6,,11,3B,,,,3,40,1.7,1,4,,,
spring2022,laerdal,6,laerdal6,,19,1E,,,,1,8,1.7,0,,,,
spring2022,laerdal,7,laerdal7,,12,4C,,3,3.3,2,19,1.7,1,21.5,,,
spring2022,saebo,5,saebo5,,1,P,,4.5,2.5,5,20,1.7,17,32,,,
spring2022,saebo,6,saebo6,,15,3E,,3.3,2.9,2,6,1.7,1,10.5,,,
spring2022,saebo,6,saebo6,,16,3E,,,,1,10,1.7,1,12.5,,,
spring2022,hjelle,3,hjelle3,,6,5A,,4.5,2.5,3,32,1.7,2,18.5,,,
spring2022,hjelle,3,hjelle3,,12,4B,,,,1,17,1.7,1,19,,,
spring2022,hjelle,6,hjelle6,,2,3C,,,,1,10,1.7,0,,,,
spring2022,hjelle,6,hjelle6,,5,4C,,,,3,28,1.7,1,12,,,
spring2022,hjelle,7,hjelle7,,4,1C,,,,1,18,1.7,1,9,,,
spring2022,hjelle,9,hjelle9,,22,5C,,3,1.5,2,16,1.7,1,3.5,,,
spring2022,hjelle,10,hjelle10,,1,G,59,4,3,5,53,1.7,4,25,,,
spring2022,hjelle,10,hjelle10,,3,4C,,4.5,4.3,5,52,1.7,4,23,,,
spring2022,hjelle,10,hjelle10,,9,3D,,5,4.5,3,41,1.7,2,11.5,,,
spring2022,ardal,8,ardal8,,6,3D,,3.5,3.2,3,33,1.7,6,13,,,
spring2022,helin,1,helin1,,8,4E,,4.5,1,2,36,1.7,0,,,,
spring2022,helin,2,helin2,,4,R,,,,1,5,1.7,1,10,,,
spring2022,helin,3,helin3,,2,P,86,2.2,2.6,4,55,1.7,6,8,,,
spring2022,helin,3,helin3,,11,4B,,3,2.8,3,30,1.7,1,4,,,
spring2022,helin,5,helin5,,7,1D,,,,1,10,1.7,0,,,,
spring2022,helin,5,helin5,,16,4C,,,,1,17,1.7,0,,,,
spring2022,helin,6,helin6,,4,G,,2.5,2.5,3,42,1.7,4,9.5,,,
spring2022,helin,6,helin6,,12,1C,,2.5,1.5,2,26,1.7,5,6.5,,,
spring2022,helin,7,helin7,,2,P,,5,2.8,4,55,1.7,0,,,,
spring2022,helin,7,helin7,,1,3A,,,,1,9,1.7,0,,,,
spring2022,helin,7,helin7,,3,3B,,,,1,6,1.7,1,4.5,,,
spring2022,helin,7,helin7,,16,2D,,4.5,2.5,5,30,1.7,1,3.5,,,
spring2022,helin,9,helin9,,4,G,,,,1,20,1.7,1,10.5,,,
spring2022,helin,10,helin10,,8,2D,,,,1,14,1.7,2,12.5,,,
spring2022,helin,10,helin10,,13,2E,,4.5,2.5,2,40,1.7,1,6.5,,,
spring2022,smadalen,3,smadalen3,,4,P,,2,1,2,9,1.7,1,8,,,
spring2022,smadalen,4,smadalen4,,2,2C,,3.4,3.9,3,38,1.7,3,4,,,
spring2022,bovra,1,bovra1,,8,1B,,,,1,5,1.7,0,,,,
spring2022,bovra,1,bovra1,,19,4C,,5,2.8,4,35,1.7,0,,,,
spring2022,bovra,3,bovra3,,3,3A,,,,1,8,1.7,0,,,,
spring2022,bovra,4,bovra4,,9,1D,,3.4,2.3,4,38,1.7,2,8,,,
spring2022,bovra,6,bovra6,,6,4C,,5.5,4.5,3,53,1.7,3,4.5,,,
spring2022,spiterstulen,1,spiterstulen1,,1,P,,2.5,2,2,36,1.7,2,,,,
spring2022,spiterstulen,2,spiterstulen2,,3,G,,5,3,2,10,1.7,0,,,,
spring2022,spiterstulen,4,spiterstulen4,,2,2B,,2.7,4,4,43,1.7,5,12,,,
spring2022,spiterstulen,5,spiterstulen5,,2,4D,,,,1,10,1.7,0,,,,
spring2022,spiterstulen,7,spiterstulen7,,4,G,154,,,1,17,1.7,0,,,,
spring2022,spiterstulen,8,spiterstulen8,,2,2D,,2.5,2.1,2,12,1.7,2,15.5,,,
spring2022,spiterstulen,9,spiterstulen9,,3,5E,,8,6.2,13,60,1.7,19,15.5,,,
spring2022,spiterstulen,10,spiterstulen10,,5,4B,,,,1,8,1.7,1,10.5,,,
spring2022,spiterstulen,10,spiterstulen10,,10,5A,,3,1,2,8,1.7,0,,,,
spring2022,laerdal,1,laerdal1,,6,C4,,,,1,12,1.6,,,,,
spring2022,laerdal,4,laerdal4,,4,P,,,,1,14,1.6,,,,,
spring2022,laerdal,6,laerdal6,,4,P,,2.5,1.5,2,28,1.6,1,21.5,,,
spring2022,laerdal,6,laerdal6,,36,4E,,,,5,59,1.6,3,19,,,
spring2022,laerdal,7,laerdal7,,1,1A,,4,2.3,2,24,1.6,2,21,,,
spring2022,laerdal,7,laerdal7,,2,1A,,,,1,12,1.6,1,27,,,
spring2022,laerdal,7,laerdal7,,6,4A,,4.4,3.2,3,35,1.6,3,25,,,
spring2022,laerdal,7,laerdal7,,8,5A,,,,1,11,1.6,1,27,,,
spring2022,laerdal,10,laerdal10,,14,4A,,,,1,10,1.6,0,,,,
spring2022,saebo,6,saebo6,,2,G,,,,1,23,1.6,0,,,,
spring2022,saebo,6,saebo6,,14,1C,,3.1,2.7,2,24,1.6,3,17,,,
spring2022,saebo,8,saebo8,,3,P,,5,2,5,36,1.6,3,25,,,
spring2022,saebo,8,saebo8,,1,5A,,4,2.5,4,36,1.6,3,15.5,,,
spring2022,hjelle,1,hjelle1,,2,P,,,,1,9,1.6,3,31,,,
spring2022,hjelle,1,hjelle1,,1,3C,,3.8,3.5,3,22,1.6,6,14,,,
spring2022,hjelle,5,hjelle5,,1,,,,,3,35,1.6,4,26,,,
spring2022,hjelle,5,hjelle5,,5,,,,,2,38,1.6,3,13,,,
spring2022,hjelle,5,hjelle5,,6,,,,,4,35,1.6,2,12,,,
spring2022,hjelle,5,hjelle5,,30,,,,,3,39,1.6,10,4.5,,,
spring2022,hjelle,6,hjelle6,,4,G,52,5,2,4,54,1.6,12,17,,,
spring2022,hjelle,6,hjelle6,,3,4C,,,,1,12,1.6,0,,,,
spring2022,hjelle,6,hjelle6,,12,2C,,,,1,12,1.6,0,,,,
spring2022,hjelle,6,hjelle6,,17,4D,,,,1,10,1.6,1,24,,,
spring2022,hjelle,6,hjelle6,,20,3E,,,,1,12,1.6,3,9,,,
spring2022,hjelle,7,hjelle7,,18,5D,,,,1,8,1.6,0,,,,
spring2022,hjelle,7,hjelle7,,28,4C,,,,1,16,1.6,0,,,,
spring2022,hjelle,9,hjelle9,,4,5B,,,,1,6,1.6,0,,,,
spring2022,hjelle,9,hjelle9,,30,3D,,2,2,2,18,1.6,4,29,,,
spring2022,hjelle,10,hjelle10,,1,4B,,3.5,3.2,2,21,1.6,1,6.5,,,
spring2022,ardal,4,ardal4,,3,3B,,,,1,4,1.6,0,,,,
spring2022,ardal,6,ardal6,,9,2C,,3,2.5,4,35,1.6,3,18,,,
spring2022,ardal,6,ardal6,,13,3C,,0.3,1.8,2,29,1.6,5,8.5,,,
spring2022,helin,1,helin1,,4,G,81,3.5,3,3,85,1.6,2,6,,,
spring2022,helin,1,helin1,,1,1B,,,,1,26,1.6,4,7,,,
spring2022,helin,1,helin1,,10,5E,,,,1,22,1.6,4,7,,,
spring2022,helin,2,helin2,,6,4D,,,,1,6,1.6,0,,,,
spring2022,helin,2,helin2,,7,4D,,,,1,4,1.6,0,,,,
spring2022,helin,3,helin3,,5,2D,,4.6,3.4,3,59,1.6,0,,,,
spring2022,helin,3,helin3,,10,4C,,,,1,5,1.6,0,,,,
spring2022,helin,4,helin4,,4,R,,,,1,13,1.6,0,,,,
spring2022,helin,4,helin4,,10,1C,,3.7,2.6,2,32,1.6,3,7.5,,,
spring2022,helin,4,helin4,,12,2D,,3.2,2.5,3,46,1.6,1,4,,,
spring2022,helin,6,helin6,,6,3C,,4.2,3.3,3,42,1.6,2,10,,,
spring2022,helin,6,helin6,,13,2E,,,,1,30,1.6,2,9.5,,,
spring2022,helin,7,helin7,,22,5E,,,,1,17,1.6,0,,,,
spring2022,helin,10,helin10,,2,4B,,,,1,9,1.6,0,,,,
spring2022,helin,10,helin10,,7,3C,,,,1,19,1.6,6,14,,,
spring2022,smadalen,1,smadalen1,,1,P,101,,,1,26,1.6,0,,,,
spring2022,smadalen,1,smadalen1,,1,5A,,3.7,2.9,4,51,1.6,4,0.7,,,
spring2022,smadalen,6,smadalen6,,2,G,,3.4,1.3,2,42,1.6,1,5.5,,,
spring2022,smadalen,6,smadalen6,,10,3B,,,,1,7,1.6,0,,,,
spring2022,smadalen,6,smadalen6,,22,1B,,3,3.4,2,36,1.6,3,7.5,,,
spring2022,smadalen,8,smadalen8,,4,1C,,3,3,3,38,1.6,4,10,,,
spring2022,bovra,1,bovra1,,7,1B,,,,1,7,1.6,0,,,,
spring2022,bovra,1,bovra1,,21,3C,,3.3,2,3,28,1.6,0,,,,
spring2022,bovra,2,bovra2,,3,P,,,,1,10,1.6,0,,,,
spring2022,bovra,4,bovra4,,2,3A,,2.5,1.5,2,21,1.6,0,,,,
