"season","pop","plot-pop-indNum","fullNameQuadrat","nLeaves","date"
"fall2022","no1","7-no1-3","ardal7",52,"1/8/2022"
"spring2022","no1","8-no1-6","ardal8",32,"1/8/2022"
"spring2022","no1","6-no1-2","ardal6",39,"1/8/2022"
"spring2022","no1","1-no1-1","ardal1",13,"1/8/2022"
"fall2022","no1","1-no1-2","ardal1",42,"1/8/2022"
"fall2022","no1","2-no1-5","ardal2",12,"1/8/2022"
"fall2022","no1","4-no1-11","ardal4",14,"1/8/2022"
"spring2022","no1","4-no1-6","ardal4",14,"1/8/2022"
"spring2022","no1","5-no1-10","ardal5",10,"1/8/2022"
"fall2022","no1","5-no1-3","ardal5",13,"1/8/2022"
"fall2022","no1","6-no1-35","ardal6",4,"1/8/2022"
"spring2022","no1","6-no1-11","ardal6",7,"1/8/2022"
"spring2022","no1","6-no1-23","ardal6",12,"1/8/2022"
"fall2022","no1","6-no1-30","ardal6",11,"1/8/2022"
"fall2022","no1","6-no1-NA","ardal6",NA,"1/8/2022"
"fall2022","no1","7-no1-1","ardal7",25,"1/8/2022"
"spring2022","no1","8-no1-2","ardal8",16,"1/8/2022"
"spring2022","NO2","9-NO2-2","bovra9",62,"2/8/2022"
"fall2022","NO2","10-NO2-5","bovra10",46,"2/8/2022"
"fall2022","NO2","7-NO2-1","bovra7",65,"2/8/2022"
"fall2022","NO2","1-NO2-34","bovra1",4,"2/8/2022"
"spring2022","NO2","1-NO2-29","bovra1",6,"2/8/2022"
"fall2022","NO2","1-NO2-32","bovra1",8,"2/8/2022"
"spring2022","NO2","1-NO2-18","bovra1",12,"2/8/2022"
"fall2022","NO2","1-NO2-8","bovra1",13,"2/8/2022"
"fall2022","NO2","1-NO2-23","bovra1",45,"2/8/2022"
"fall2022","NO2","10-NO2-4","bovra10",37,"2/8/2022"
"fall2022","NO2","11-NO2-4","bovra11",8,"2/8/2022"
"spring2022","NO2","11-NO2-1","bovra11",70,"2/8/2022"
"spring2022","NO2","2-NO2-3","bovra2",10,"2/8/2022"
"fall2022","NO2","3-NO2-NA","bovra3",NA,"2/8/2022"
"spring2022","NO2","4-NO2-12","bovra4",4,"2/8/2022"
"fall2022","NO2","4-NO2-8","bovra4",23,"2/8/2022"
"spring2022","NO2","4-NO2-NA","bovra4",NA,"2/8/2022"
"spring2022","NO2","5-NO2-2","bovra5",110,"2/8/2022"
"fall2022","NO2","6-NO2-2","bovra6",76,"2/8/2022"
"fall2022","NO2","7-NO2-3","bovra7",43,"2/8/2022"
"fall2022","NO2","8-NO2-5","bovra8",10,"2/8/2022"
"fall2022","NO2","9-NO2-3","bovra9",13,"2/8/2022"
"spring2022","No3","10-No3-6","helin10",88,"3/8/2022"
"spring2022","No3","10-No3-7","helin10",21,"3/8/2022"
"fall2022","No3","10-No3-10","helin10",22,"3/8/2022"
"spring2022","No3","3-No3-3","helin3",20,"3/8/2022"
"fall2022","No3","6-No3-11","helin6",38,"3/8/2022"
"spring2022","No3","10-No3-9","helin10",24,"3/8/2022"
"fall2022","No3","7-No3-18","helin7",4,"3/8/2022"
"spring2022","No3","1-No3-3","helin1",54,"3/8/2022"
"spring2022","No3","10-No3-15","helin10",12,"3/8/2022"
"spring2022","No3","10-No3-5","helin10",15,"3/8/2022"
"fall2022","No3","2-No3-7","helin2",6,"3/8/2022"
"spring2022","No3","2-No3-2","helin2",9,"3/8/2022"
"fall2022","No3","3-No3-6","helin3",14,"3/8/2022"
"fall2022","No3","3-No3-2","helin3",30,"3/8/2022"
"spring2022","No3","3-No3-NA","helin3",NA,"3/8/2022"
"spring2022","No3","4-No3-17","helin4",21,"3/8/2022"
"spring2022","No3","4-No3-13","helin4",13,"3/8/2022"
"fall2022","No3","4-No3-21","helin4",11,"3/8/2022"
"fall2022","No3","5-No3-2","helin5",9,"3/8/2022"
"fall2022","No3","5-No3-18","helin5",6,"3/8/2022"
"fall2022","No3","5-No3-9","helin5",10,"3/8/2022"
"spring2022","No3","5-No3-8","helin5",0,"3/8/2022"
"spring2022","No3","6-No3-5","helin6",16,"3/8/2022"
"fall2022","No3","6-No3-7","helin6",38,"3/8/2022"
"spring2022","No3","7-No3-22","helin7",8,"3/8/2022"
"spring2022","No3","7-No3-1","helin7",40,"3/8/2022"
"fall2022","No3","7-No3-4","helin7",44,"3/8/2022"
"fall2022","No3","7-No3-1","helin7",21,"3/8/2022"
"fall2022","No3","8-No3-1","helin8",75,"3/8/2022"
"spring2022","No4","3-No4-15","hjelle3",12,"4/8/2022"
"spring2022","No4","10-No4-9","hjelle10",26,"4/8/2022"
"fall2022","No4","5-No4-30","hjelle5",41,"4/8/2022"
"spring2022","No4","2-No4-9","hjelle2",54,"4/8/2022"
"fall2022","No4","9-No4-7","hjelle9",44,"4/8/2022"
"spring2022","No4","2-No4-7","hjelle2",24,"4/8/2022"
"spring2022","No4","5-No4-9","hjelle5",27,"4/8/2022"
"fall2022","No4","5-No4-19","hjelle5",15,"4/8/2022"
"spring2022","No4","5-No4-31","hjelle5",18,"4/8/2022"
"fall2022","No4","1-No4-5","hjelle1",3,"4/8/2022"
"fall2022","No4","1-No4-3","hjelle1",0,"4/8/2022"
"fall2022","No4","10-No4-1","hjelle10",16,"4/8/2022"
"spring2022","No4","10-No4-NA","hjelle10",NA,"4/8/2022"
"fall2022","No4","2-No4-2","hjelle2",36,"4/8/2022"
"fall2022","No4","3-No4-22","hjelle3",5,"4/8/2022"
"spring2022","No4","3-No4-27","hjelle3",6,"4/8/2022"
"spring2022","No4","3-No4-48","hjelle3",6,"4/8/2022"
"spring2022","No4","3-No4-32","hjelle3",29,"4/8/2022"
"spring2022","No4","3-No4-8","hjelle3",4,"4/8/2022"
"spring2022","No4","3-No4-2","hjelle3",8,"4/8/2022"
"fall2022","No4","4-No4-24","hjelle4",11,"4/8/2022"
"fall2022","No4","4-No4-31","hjelle4",3,"4/8/2022"
"fall2022","No4","4-No4-21","hjelle4",8,"4/8/2022"
"fall2022","No4","4-No4-20","hjelle4",10,"4/8/2022"
"fall2022","No4","4-No4-8","hjelle4",15,"4/8/2022"
"spring2022","No4","5-No4-15","hjelle5",14,"4/8/2022"
"fall2022","No4","5-No4-26","hjelle5",5,"4/8/2022"
"fall2022","No4","5-No4-13","hjelle5",21,"4/8/2022"
"fall2022","No4","5-No4-22","hjelle5",12,"4/8/2022"
"fall2022","No4","6-No4-10","hjelle6",7,"4/8/2022"
"spring2022","No4","6-No4-11","hjelle6",7,"4/8/2022"
"fall2022","No4","6-No4-27","hjelle6",5,"4/8/2022"
"spring2022","No4","6-No4-6","hjelle6",16,"4/8/2022"
"spring2022","No4","7-No4-31","hjelle7",4,"4/8/2022"
"fall2022","No4","7-No4-29","hjelle7",13,"4/8/2022"
"fall2022","No4","7-No4-4","hjelle7",10,"4/8/2022"
"fall2022","No4","7-No4-1","hjelle7",30,"4/8/2022"
"spring2022","No4","7-No4-33","hjelle7",7,"4/8/2022"
"spring2022","No4","7-No4-10","hjelle7",32,"4/8/2022"
"spring2022","No4","7-No4-NA","hjelle7",NA,"4/8/2022"
"fall2022","No4","8-No4-1","hjelle8",21,"4/8/2022"
"spring2022","No4","9-No4-42","hjelle9",5,"4/8/2022"
"fall2022","No4","9-No4-18","hjelle9",6,"4/8/2022"
"fall2022","No4","9-No4-37","hjelle9",20,"4/8/2022"
"fall2022","No4","9-No4-32","hjelle9",12,"4/8/2022"
"fall2022","No4","9-No4-29","hjelle9",15,"4/8/2022"
"fall2022","Sw1","3-Sw1-1","laerdal3",32,"5/8/2022"
"fall2022","Sw1","10-Sw1-16","laerdal10",31,"5/8/2022"
"fall2022","Sw1","6-Sw1-27","laerdal6",63,"5/8/2022"
"fall2022","Sw1","9-Sw1-8","laerdal9",76,"5/8/2022"
"fall2022","Sw1","3-Sw1-4","laerdal3",40,"5/8/2022"
"spring2022","Sw1","7-Sw1-7","laerdal7",16,"5/8/2022"
"fall2022","Sw1","7-Sw1-1","laerdal7",23,"5/8/2022"
"spring2022","Sw1","9-Sw1-3","laerdal9",50,"5/8/2022"
"spring2022","Sw1","8-Sw1-2","laerdal8",23,"5/8/2022"
"fall2022","Sw1","1-Sw1-10","laerdal1",5,"5/8/2022"
"spring2022","Sw1","1-Sw1-9","laerdal1",7,"5/8/2022"
"spring2022","Sw1","1-Sw1-21","laerdal1",23,"5/8/2022"
"spring2022","Sw1","10-Sw1-9","laerdal10",30,"5/8/2022"
"fall2022","Sw1","10-Sw1-8","laerdal10",41,"5/8/2022"
"spring2022","Sw1","10-Sw1-3","laerdal10",20,"5/8/2022"
"fall2022","Sw1","2-Sw1-3","laerdal2",42,"5/8/2022"
"fall2022","Sw1","4-Sw1-18","laerdal4",9,"5/8/2022"
"spring2022","Sw1","4-Sw1-20","laerdal4",15,"5/8/2022"
"spring2022","Sw1","4-Sw1-4","laerdal4",90,"5/8/2022"
"spring2022","Sw1","5-Sw1-19","laerdal5",12,"5/8/2022"
"fall2022","Sw1","5-Sw1-2","laerdal5",14,"5/8/2022"
"fall2022","Sw1","5-Sw1-12","laerdal5",14,"5/8/2022"
"fall2022","Sw1","6-Sw1-54","laerdal6",5,"5/8/2022"
"spring2022","Sw1","6-Sw1-42","laerdal6",20,"5/8/2022"
"fall2022","Sw1","6-Sw1-40","laerdal6",55,"5/8/2022"
"spring2022","Sw1","6-Sw1-31","laerdal6",13,"5/8/2022"
"spring2022","Sw1","6-Sw1-37","laerdal6",34,"5/8/2022"
"spring2022","Sw1","6-Sw1-12","laerdal6",70,"5/8/2022"
"spring2022","Sw1","6-Sw1-11","laerdal6",40,"5/8/2022"
"fall2022","Sw1","6-Sw1-60","laerdal6",15,"5/8/2022"
"spring2022","Sw1","7-Sw1-18","laerdal7",5,"5/8/2022"
"fall2022","Sw1","7-Sw1-2","laerdal7",28,"5/8/2022"
"spring2022","Sw1","8-Sw1-3","laerdal8",7,"5/8/2022"
"spring2022","Sw1","9-Sw1-4","laerdal9",12,"5/8/2022"
"spring2022","sw2","10-sw2-3","saebo10",16,"6/8/2022"
"spring2022","sw2","2-sw2-9","saebo2",11,"6/8/2022"
"spring2022","sw2","7-sw2-1","saebo7",21,"6/8/2022"
"fall2022","sw2","5-sw2-11","saebo5",26,"6/8/2022"
"spring2022","sw2","2-sw2-6","saebo2",13,"6/8/2022"
"fall2022","sw2","1-sw2-1","saebo1",15,"6/8/2022"
"fall2022","sw2","10-sw2-4","saebo10",17,"6/8/2022"
"fall2022","sw2","10-sw2-6","saebo10",NA,"6/8/2022"
"spring2022","sw2","2-sw2-3","saebo2",24,"6/8/2022"
"spring2022","sw2","3-sw2-7","saebo3",8,"6/8/2022"
"fall2022","sw2","3-sw2-4","saebo3",52,"6/8/2022"
"spring2022","sw2","3-sw2-13","saebo3",10,"6/8/2022"
"spring2022","sw2","3-sw2-8","saebo3",8,"6/8/2022"
"fall2022","sw2","4-sw2-2","saebo4",56,"6/8/2022"
"fall2022","sw2","5-sw2-5","saebo5",43,"6/8/2022"
"fall2022","sw2","6-sw2-21","saebo6",5,"6/8/2022"
"fall2022","sw2","6-sw2-2","saebo6",37,"6/8/2022"
"fall2022","sw2","6-sw2-11","saebo6",30,"6/8/2022"
"spring2022","sw2","7-sw2-5","saebo7",25,"6/8/2022"
"fall2022","sw2","8-sw2-1","saebo8",12,"6/8/2022"
"fall2022","sw2","9-sw2-3","saebo9",30,"6/8/2022"
"spring2022","Sw3","3-Sw3-2","smadalen3",37,"7/8/2022"
"spring2022","Sw3","5-Sw3-9","smadalen5",12,"7/8/2022"
"fall2022","Sw3","6-Sw3-22","smadalen6",33,"7/8/2022"
"spring2022","Sw3","6-Sw3-17","smadalen6",52,"7/8/2022"
"spring2022","Sw3","2-Sw3-12","smadalen2",49,"7/8/2022"
"spring2022","Sw3","6-Sw3-3","smadalen6",55,"7/8/2022"
"spring2022","Sw3","1-Sw3-1","smadalen1",0,"7/8/2022"
"fall2022","Sw3","2-Sw3-6","smadalen2",4,"7/8/2022"
"spring2022","Sw3","2-Sw3-8","smadalen2",35,"7/8/2022"
"fall2022","Sw3","2-Sw3-10","smadalen2",27,"7/8/2022"
"spring2022","Sw3","3-Sw3-1","smadalen3",120,"7/8/2022"
"spring2022","Sw3","4-Sw3-3","smadalen4",18,"7/8/2022"
"fall2022","Sw3","5-Sw3-15","smadalen5",13,"7/8/2022"
"fall2022","Sw3","5-Sw3-1","smadalen5",36,"7/8/2022"
"spring2022","Sw3","5-Sw3-4","smadalen5",150,"7/8/2022"
"fall2022","Sw3","6-Sw3-25","smadalen6",3,"7/8/2022"
"spring2022","Sw3","6-Sw3-26","smadalen6",13,"7/8/2022"
"spring2022","Sw3","6-Sw3-24","smadalen6",11,"7/8/2022"
"spring2022","Sw3","7-Sw3-2","smadalen7",28,"7/8/2022"
"fall2022","Sw3","8-Sw3-1","smadalen8",140,"7/8/2022"
"fall2022","SW4","9-SW4-3","spiterstulen9",140,"8/8/2022"
"fall2022","SW4","7-SW4-2","spiterstulen7",75,"8/8/2022"
"spring2022","SW4","8-SW4-1","spiterstulen8",28,"8/8/2022"
"spring2022","SW4","7-SW4-3","spiterstulen7",19,"8/8/2022"
"fall2022","SW4","1-SW4-3","spiterstulen1",30,"8/8/2022"
"spring2022","SW4","10-SW4-10","spiterstulen10",6,"8/8/2022"
"fall2022","SW4","10-SW4-4","spiterstulen10",27,"8/8/2022"
"spring2022","SW4","2-SW4-3","spiterstulen2",16,"8/8/2022"
"spring2022","SW4","2-SW4-8","spiterstulen2",13,"8/8/2022"
"fall2022","SW4","3-SW4-3","spiterstulen3",43,"8/8/2022"
"spring2022","SW4","5-SW4-3","spiterstulen5",51,"8/8/2022"
